"","text","created_at","label"
"1","Pfizer’s own documents show tens of thousands of adverse reactions + over 1200 DEATHS in the first 90 days of the vaccine. Ex-Portugal minister @MacaesBruno supports covid mandates, I asked who’s responsible when one side effect is DEATH

He didn’t like it
https://t.co/T8H3UeZsnn https://t.co/fQtoNglrm1",2021-12-04 16:32:07,0
"2","US court orders release of Pfizer data:

“in just the first 90 days of the vaccine’s roll out..there were TENS OF THOUSANDS of reported adverse reactions, including OVER 1200 DEATHS”

It is INSANE to MANDATE something for which one side effect is DEATH

https://t.co/S6VGRUzXYP",2021-12-03 12:54:39,0
"3","The FDA Slaps Major Warning About Pfizer Drug as Vaccine Reactions Come Under Scrutiny

https://t.co/MtncVUmKId",2021-12-04 03:35:35,0
"4","#BREAKING The national medical regulator has approved the Pfizer COVID-19 vaccine for children aged 5-11 @abcnews",2021-12-04 20:55:28,0
"5","Vaccine makers are preparing for the Omicron storm and are already working on modified boosters targeting the new COVID strain. https://t.co/LfRS2k3CuN",2021-11-30 21:15:01,0
"6","Vaccine makers are preparing for the worst and are already working on modified boosters targeting the new COVID strain. https://t.co/mRSMbMhZ0Y",2021-12-05 19:30:01,0
"7","Vaccine Wars: The Truth About Pfizer #dispatches - C4 on Friday at 1930 - we hear claims the drug company is “war profiteering” during the pandemic. 

https://t.co/l3lkxp5bru",2021-12-05 19:16:45,0
"8","Big (order of magnitude) 3rd shot impact of J&amp;J or Pfizer vaccine after 2 doses of Pfizer for both neutralizing antibody and T-cell response vs Delta https://t.co/FATs9LHFny confirms powerful booster effect and extends to J&amp;J, cellular immune response https://t.co/Jbnx5UDuxf",2021-12-05 19:08:33,0
"9","New @TheLancet 
A randomized assessment of 6 different vaccine boosters (3rd shots) after AZ or Pfizer vaccinations: They worked well to boost antibody and cellular immunity, with variability in magnitude of response
https://t.co/8XL4TCOehF https://t.co/b1xEJ3vbdA",2021-12-02 23:31:00,0
"10","Pfizer won’t  sale their vaccine in county’s that Don’t give them complete immunity from adverse reactions 

Including  “fraud, gross negligence, mismanagement, failure to follow good manufacturing practices

This should tell you all you need to know",2021-12-05 19:05:35,0
"11","And this is the Pfizer vaccine same one we are giving our children",2021-12-03 01:59:21,0
"12","@statsjamie FYI as well - my reporting on related costs when Israel first got the Pfizer vaccine here. https://t.co/tXTLDzYy3T",2021-12-05 18:51:38,0
"13","Parents and guardians: now that children ages 5-11can now receive a pediatric dose of the Pfizer vaccine, here’s everything you need to know about getting your child vaccinated against COVID-19 ➡️ https://t.co/S6HPC4xzaZ #VaxUpPhilly https://t.co/Vl3fO6j6VR",2021-11-28 18:32:01,0
"14","Parents and guardians: now that children ages 5-11can now receive a pediatric dose of the Pfizer vaccine, here’s everything you need to know about getting your child vaccinated against COVID-19 ➡️ https://t.co/S6HPC4xzaZ #VaxUpPhilly https://t.co/ucl2afJ5px",2021-12-05 18:32:01,0
"15","🥳 Hooray! Children ages 5-11 are now eligible to receive a pediatric dose of the Pfizer vaccine! Learn more ➡️https://t.co/S6HPC4xzaZ #VaxUpPhilly https://t.co/Ic3i6Ci7m3",2021-11-29 18:30:05,0
"16","🥳 Hooray! Children ages 5-11 are now eligible to receive a pediatric dose of the Pfizer vaccine! Learn more ➡️https://t.co/S6HPC4xzaZ #VaxUpPhilly https://t.co/LLcEqjhH5O",2021-12-02 18:30:03,0
"17","Researchers found both the Pfizer and Moderna vaccines highly effective against breakthrough infections https://t.co/N4xbEu3snj",2021-12-05 18:20:01,0
"18","Check out this #COVID19 Pfizer @ONgov GO-VAXX mobile walk-in vaccine clinic.💉 

Open to #Durham residents 12+ (youth born in 2009) for 1st &amp; 2nd. 3rd dose for eligible populations. 1st dose for children 5-11 years old.

📅 Dec. 5- 10am-6pm
📍 Courtice Community Complex https://t.co/GMhNOu7Y6Y",2021-12-02 16:37:37,0
"19","Check out this #COVID19 Pfizer @ONgov GO-VAXX mobile walk-in vaccine clinic. 💉 

Open to #Durham residents 12+ (youth born in 2009) for 1st &amp; 2nd dose. 3rd dose for eligible populations. 1st dose for children 5-11 years old.

📅 Dec. 6- 10am-6pm
📍 Donevan Rec Complex, Oshawa https://t.co/J7S8F9ML6R",2021-12-03 17:15:05,0
"20","💻 Join our Virtual Town Hall Thurs. Dec. 2 - 8-9:30pm. 

Parents &amp; caregivers of kids 5-11 years old can ask questions about the paediatric #COVID19 Pfizer vaccine with our expert panel of speakers.💉 

No registration. Email questions to: healthtownhall@durham.ca https://t.co/lgO6IT0LSu",2021-11-29 20:27:24,0
"21","Check out this #COVID19 Pfizer &amp; Moderna vaccine pop-up walk-in clinic.  💉 

Open to all #Durham residents 12+ (youth born in 2009) for 1st &amp; 2nd dose. 3rd dose for eligible populations.

📅 Dec. 7 - 10am-4pm
📍 Newcastle United Church, 84 Mill St. S., Newcastle https://t.co/iSlxqf23We",2021-12-05 18:12:01,0
"22","Check out this #COVID19 Pfizer &amp; Moderna vaccine pop-up walk-in clinic.  💉 

Open to all #Durham residents 12+ (youth born in 2009) for 1st &amp; 2nd dose. 3rd dose for eligible populations.

📅 Dec. 7 - 10am-4pm
📍 Newcastle United Church, 84 Mill St. S., Newcastle https://t.co/4LmnGsxwXe",2021-12-03 18:12:04,0
"23","Check out this #COVID19 Pfizer @ONgov GO-VAXX mobile walk-in vaccine clinic. 

Open to Durham residents 12+ (youth born in 2009) for 1st or 2nd dose. 3rd dose for eligible populations. 1st dose for kids ages 5-11.

📅 Nov. 30- 10am-6pm
📍 Pickering Town Centre, 1355 Kingston Rd. https://t.co/BQn9cy5Uqk",2021-11-27 19:21:01,0
"24","Check out this #COVID19 Pfizer @ONgov GO-VAXX mobile walk-in vaccine clinic.💉 

Open to #Durham residents 12+ (youth born in 2009) for 1st or 2nd dose. 3rd dose for eligible populations. 1st dose for 5-11 year olds.

📅 Nov. 28 - 10am-6pm
📍 Bowmanville Mall, 243 King St. E. https://t.co/kpsM8JX0it",2021-11-28 13:18:01,0
